L,R,A,Vbias,result
5,60,25,1.0,False
5,60,25,1.1,False
5,60,25,1.2,True
5,60,25,1.3,True
5,60,25,1.4,False
5,60,25,1.5,False
5,60,25,1.6,False
5,60,25,1.7,False
5,60,25,1.8,False
5,60,25,1.9,False
5,60,5,1.4,True
5,60,5,1.5,True
5,60,5,1.6,True
5,60,5,1.7,False
5,60,5,1.8,False
5,60,5,1.9,False
5,60,5,2.0,False
5,60,10,1.0,False
5,60,10,1.1,True
5,60,10,1.2,True
5,60,10,1.3,True
5,60,10,1.4,True
5,60,10,1.5,True
5,60,10,1.6,False
5,60,10,1.7,False
5,60,10,1.8,False
5,60,10,1.9,False
5,60,10,2.0,False
5,60,15,1.0,False
5,60,15,1.1,True
5,50,5,1.0,False
5,50,5,1.1,True
5,50,5,1.2,True
5,50,5,1.3,True
5,50,5,1.4,True
5,50,5,1.5,False
5,50,5,1.6,False
5,50,5,1.7,False
5,50,5,1.8,False
5,50,5,1.9,False
5,60,20,1.1,False
5,60,20,1.2,True
5,60,20,1.3,True
5,60,20,1.4,False
5,60,20,1.5,False
5,60,20,1.6,False
5,60,20,1.7,False
5,60,20,1.8,False
5,60,20,1.9,False
5,60,20,2.0,False
5,60,15,1.2,True
5,60,15,1.3,True
5,60,15,1.4,True
5,60,15,1.5,False
5,60,15,1.6,False
5,60,15,1.7,False
5,60,15,1.8,False
5,60,15,1.9,False
5,60,15,2.0,False
5,60,20,1.0,False
5,50,5,2.0,False
5,50,10,1.0,False
5,50,10,1.1,True
5,50,10,1.2,True
5,50,10,1.3,True
5,50,10,1.4,False
5,50,10,1.5,False
5,50,10,1.6,False
5,50,10,1.7,False
5,50,10,1.8,False
5,50,10,1.9,False
5,50,10,2.0,False
5,50,15,1.0,False
5,50,15,1.1,True
5,50,15,1.2,True
5,50,15,1.3,False
5,50,15,1.4,False
5,50,15,1.5,False
5,50,15,1.6,False
5,50,15,1.7,False
5,50,15,1.8,False
5,50,15,1.9,False
5,50,15,2.0,False
5,50,20,1.0,False
5,50,20,1.1,True
5,50,20,1.2,False
5,50,20,1.3,False
5,50,20,1.4,False
5,50,20,1.5,False
5,50,20,1.6,False
5,50,25,1.6,False
5,50,25,1.7,False
5,50,25,1.8,False
5,50,25,1.9,False
5,50,25,2.0,False
5,50,30,1.0,False
5,50,30,1.1,False
5,50,30,1.2,False
5,50,30,1.3,False
5,50,30,1.4,False
5,50,20,1.7,False
5,50,20,1.8,False
5,50,20,1.9,False
5,50,20,2.0,False
5,50,25,1.0,False
5,50,25,1.1,True
5,50,25,1.2,False
5,50,25,1.3,False
5,50,25,1.4,False
5,50,25,1.5,False
5,50,30,1.5,False
5,50,30,1.6,False
5,50,30,1.7,False
5,50,30,1.8,False
5,50,30,1.9,False
5,50,30,2.0,False
5,60,5,1.0,False
5,60,5,1.1,True
5,60,5,1.2,True
5,60,5,1.3,True
5,70,5,1.8,True
5,70,5,1.9,False
5,70,5,2.0,False
5,70,10,1.0,False
5,70,10,1.1,True
5,70,10,1.2,True
5,70,10,1.3,True
5,70,10,1.4,True
5,70,10,1.5,True
5,70,10,1.6,True
5,60,30,1.9,False
5,60,30,2.0,False
5,70,5,1.0,False
5,70,5,1.1,True
5,70,5,1.2,True
5,70,5,1.3,True
5,70,5,1.4,True
5,70,5,1.5,True
5,70,5,1.6,True
5,70,5,1.7,True
5,70,10,1.7,True
5,70,10,1.8,False
5,70,10,1.9,False
5,70,10,2.0,False
5,70,15,1.0,False
5,70,15,1.1,False
5,70,15,1.2,True
5,70,15,1.3,True
5,70,15,1.4,True
5,70,15,1.5,True
5,60,25,2.0,False
